Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
1,2014,Boston Red Sox,AL East,66,30,36,0,.455,.463,4th of 5,8.0,,259,281,30.4,31.2,35,16,D.Pedroia (2.0),J.Farrell (30-36)
2,2013,Boston Red Sox,AL East,162,97,65,0,.599,.618,1st of 5,--,Won WS (4-2),853,656,29.7,30.2,48,26,D.Pedroia (6.6),J.Farrell (97-65)
3,2012,Boston Red Sox,AL East,162,69,93,0,.426,.457,5th of 5,26.0,,734,806,29.4,28.7,56,26,D.Pedroia (5.1),B.Valentine (69-93)
4,2011,Boston Red Sox,AL East,162,90,72,0,.556,.578,3rd of 5,7.0,,875,737,30.0,30.3,49,27,J.Ellsbury (8.1),T.Francona (90-72)
5,2010,Boston Red Sox,AL East,162,89,73,0,.549,.543,3rd of 5,7.0,,818,744,30.8,29.6,53,25,A.Beltre (7.8),T.Francona (89-73)
6,2009,Boston Red Sox,AL East,162,95,67,0,.586,.577,2nd of 5,8.0,Lost LDS (3-0),872,736,30.0,29.8,52,27,K.Youkilis (6.6),T.Francona (95-67)
7,2008,Boston Red Sox,AL East,162,95,67,0,.586,.589,2nd of 5,2.0,Lost ALCS (4-3),845,694,29.8,29.2,47,23,D.Pedroia (6.9),T.Francona (95-67)
8,2007,Boston Red Sox,AL East,162,96,66,0,.593,.624,1st of 5,--,Won WS (4-0),867,657,30.2,31.1,40,20,J.Beckett (6.6),T.Francona (96-66)
9,2006,Boston Red Sox,AL East,162,86,76,0,.531,.497,3rd of 5,11.0,,820,825,30.5,31.1,53,28,D.Ortiz (5.7),T.Francona (86-76)
10,2005,Boston Red Sox,AL East,162,95,67,0,.586,.556,2nd of 5,--,Lost LDS (3-0),910,805,31.5,33.6,52,26,D.Ortiz (5.3),T.Francona (95-67)
